tid, template, count
57, x=16/24-18/24, 10
58, 8*x-(-54)/9=-18, 1
59, 3*(x+2)=x-10, 1
60, x=9*10*10*10, 28
61, 10*x-19=9-4*x, 2
62, x+(x+1)+x*(x+1)=271, 1
63, 3*(2*x+3)+2*x=145, 1
64, x=5*1*9*9*1*9*1, 1
65, x=(1+2+3+4)*(3*2)*(1000+100+10+1), 1
66, x=2*5050-100*1, 6
67, x=(7+700)*((700-7)/7+1)/2, 2
68, 15/630000=0.50/x, 32
69, 2/3=1/2*4/5*x, 1
70, x=-1*6/2, 52
71, 1/3*x+140=216, 2
72, (x-5)*3=1/9, 1
73, (x-8)*4=x+19, 1
74, (x+5)/2+(x-1)/2=(x-1)/3, 1
75, ((8*x-8)/12)*2=20, 1
76, (4+x)/2=(2+8+x)/3, 1
77, x=6/7*9/13, 23
78, x*x*x*x*x*x=117649, 1
79, x+x=x*x, 1
80, 6*34=13+25+36+41+49+x, 2
81, x=1/x+2+1/10, 1
82, x=21.33*2.04-(1.115+3.18+22.0613+12.2384), 1
83, x=1/2*1/4*1/10*400, 1
84, x=1/10*1/4*1/5*1/2*12000, 1
85, x/2+7+1/2=14, 1
86, x=(86+74+79+62+74)/5, 5
87, 43=5/8*x-11, 1
88, x=(126+1/4)-(78+2/3), 2
89, 1/2*x-1/6*x=1/8*x+10, 1
90, x=6*103+3*102, 18
91, 2/3*x=x+4, 1
92, x+1/x=2+1/6, 1
93, x/5*x=40/100*x-40, 1
94, 1/3*x+30=2*x, 1
95, 2*(x+2)-4=3*(x+4+1), 1
96, x-4=8+x/5, 1
97, x=50+108/9, 5
98, 12/(x+2)=4/(x-2), 6
99, 5/x-1/2=3/(6*x), 1
100, (16+x)/(37+x)=5/8, 1
101, (2*x+3)/(x-2)=1, 1
102, x=8/(1/4), 9
103, x*30*6=38000, 2
104, x=219+2*78, 27
105, 89*(x+3)=75+95+91+90*x, 1
106, x*(1+0.06)=40.28, 22
107, 3*1000*15/100=x*20/10, 1
108, x=0.9/(17*9), 9
109, (x+(x+6)*(5-1))*5/2=100, 1
110, x=8448620*1/2+138476999-40045-142661263, 1
111, x/25=0.32, 2
112, x=(25.75+15.49+9.95)*(1+0.0825), 1
113, x*20+50*50=30*(x+50), 11
114, x*3*1/8=3, 1
115, x=5*20*0.3-20*4*0.25, 1
116, x=40*20*10/(100*40), 1
117, x*(2.25+3/8)=21, 1
118, x*(1-0.2)=88, 7
119, x-9=2*(90-x), 1
120, x=(-4/5)*(-3/8), 18
121, 5x-3=x+25, 2
122, x=5*1000+12*100+11*10+14, 1
123, x=20-(-7), 386
124, x=23*(23-1)/2, 4
125, 1/x=1/3+1/6, 10
126, x=60*2/(60/20+60/30), 1
127, (x+1/2+1/3)=1*3, 1
128, 5x=4, 20
129, x*(1-4/17)*(1-7/13)*(1-2/3)=2000000, 1
130, 3+7*(x-1)=528, 7
131, x/2*(5+2)=252, 1
132, x=1+(5-1)*2, 5
133, x*(1-1/2)*(1-1/2)=16, 2
134, 0.5x9+0.83*10=(x+10)*0.79, 10
135, x=1/6+3/4+2/12+1/2+1/3, 1
136, x*(1-0.1)*(1-0.15)=306, 1
137, x=68*(17-9), 66
138, x=150/(150/50+150/75), 9
139, x*(1-1/6-2/3)=12, 3
140, 200/(x+10)+40/60=200/x, 1
141, 0.04*x+0.035*4*x=850, 4
142, x*(40-(x-120)*0.5)=4200, 1
143, (5000-100x)*(8+0.25x)=42000, 1
144, x/50=18/x, 1
145, 100+25x=150+15x, 9
146, x*1/4+8=11, 2
147, x*0.12*1/2+x*0.11*1/3+x*0.09*(1-1/2-1/3)=1340, 1
148, 6000/(1/4)=3*x+4*x/2, 1
149, x=(45-38)/45, 40
150, x=5*100-80, 7
151, x=(5+3)/12, 55
152, x=(10+30+0+45)/(10/20+30/60+10/60+45/45), 1
153, 0.13*14=x*1/2, 1
154, x-15=(x+15)*1/4, 1
155, x=7*2+7*7*7*(4+7*4), 1
156, x=4/52*(4-1)/(52-1), 1
157, x=(5+4)*2, 47
158, x+x+x-2/3=144, 1
159, x=2*(6.5*15.1+6.5*4.5+15.1*4.5), 7
160, x=200-50.83*2-25.93-53.29, 1
161, x=1463.98+515.73+189.59, 83
162, (10+6+8)/(10/5+6/2+8/x)=4, 1
163, 35x=50*100, 11
164, x=81-25*2, 11
165, 3x=1.5x+24, 19
166, x=20+(x*1/5), 1
167, x*1/5=526, 5
168, 82+96+89+92+x=90*5, 2
169, 15*5=2*3.14*x, 1
170, 250/x+360/(x+10)=11, 2
171, 6*(4x+8)=120, 1
172, x*9.08/(60*60)=100/1760, 1
173, (x+x/2)*2=90, 1
174, 2x=(26.2/2)*4, 2
175, x9=(3+3/8)*3, 1
176, (22+17+x*10)=69, 1
177, x=1-(1/4+2/5+1/10), 1
178, x=(2.4+112+26.2)*4, 6
179, 2*(30+50)/x=50/50*2, 1
180, x=30000/(360000-30000), 5
181, x=1/(1/4+1/6+1/2), 1
182, 4+2=5+x, 1
183, 5*x+(-3)*(40-x)=0, 9
184, x=5/(5+3+4), 5
185, x=(1+14)*14/2, 5
186, x=1-(1+0.25)*(1-0.4), 1
187, x=37.5*9.12+(40-37.5)*9.12*(1+1/3)+3*9.12*(1+3/4), 1
188, x=3+5*(5+3), 1
189, x=(1+0.25)*(1-0.4), 1
190, x=56100*(6/11)/100*3.37, 3
191, 900/(2*(80+100))=2400/(2*(120+x)), 1
192, 10/100*x+10*4=104, 1
193, (x+3)/2=0, 2
194, x=3*5-9+5, 2
195, x=3/(4*2)-4/(5*3), 1
196, x=15/((3-1)*60+30), 1
197, x=7.5*35+7.5*2*4, 2
198, x=7*7*7*7*4+7*7*7*4+7*2, 1
199, 1.5*(1-x)=(1+x), 1
200, x+185+210=200*3, 1
201, x=1/2*(-10)-4, 1
202, x=1/2*54.6*28.4, 8
203, x=1-1/8-0.375-0.4, 1
204, x=2*(24+10*2+19+10*2), 1
205, x=800*0.065*3/12, 16
206, x=2000*(1+0.055*3/12), 1
207, 0.5*x+(3-0.5)*x*1/4=15, 1
208, x=(8/24)*(12/(24-1)), 1
209, x=(35/4)/5, 14
210, x=12*2-12*(1/2+1/4+1/6+1/3+1/4), 1
211, x=1880*0.045*2/12+1880, 1
212, 16x=2*3.14*28, 2
213, x=2*(12/2-1+14/2-1)/(12*14/(2*2)), 1
214, x=8*6+4*6-47, 1
215, x=4*(4-1)*(4-2)*(4-3), 1
216, x=21*(1-2*1/3), 1
217, x/(6*25)=10/2, 2
218, x=(8*12/3)/320, 2
219, 15*1+15x=20x, 7
220, x=16*(1-1/2-1/8), 2
221, (1/36+1/x)=1/20, 5
222, 13x9=52600/1, 3
223, x=-50+60-70+80, 3
224, x=100*24*60*60/1024, 3
225, x*(x-1)=14520, 1
226, (x+4)*8=x*16, 1
227, 6x-(3x+8)=16, 1
228, 1/x+1/(x-5)+1/x=1/3.23, 1
229, 5x=5+4+5+5+4, 1
230, 4*x*5=6*5*8, 2
231, x=6*5*4+5*5*4, 2
232, x*2/3*(1-0.2-1/4-1/8)=68, 1
233, (x+2)*50+70*x=800, 2
234, 160/(x-10)+270/x=5, 4
235, x=(1.5*36*30)/(0.25*3*36), 6
236, x/100=(26+21)/(40+36), 1
237, x/3=18/(90/60), 4
238, 2/x+3/x=4/5, 1
239, x*(x-1)/2=105, 1
240, x=60*(1-3/8), 2
241, x=420*(1+(17+1/2)/100), 1
242, x=(192*1+34*2+8*3+8*4)/692, 1
243, (x+1)+(x+2)=17, 1
244, 25x=1000-240, 11
245, 3x+1=4x-2, 3
246, -3+5+2+x=10, 2
247, x=(6*(6-1)/2)*(6*(6-1)/2)*3, 1
248, x=(156.57+192.41+171.85+121.35+289.51+249.78)/6, 2
249, 40x+(44-40)*1.5x=229, 1
250, 2*(100+2x)+2*(60+2x)=450, 1
251, x=(x+(x+1)+(x+2)+(x+3))-((x-3)+(x-2)+(x-1)+x), 1
252, x=0.1*(1-0.03)*(1-0.15)+(1-0.1)*0.03*(1-0.15)+(1-0.1)*(1-0.03)*0.15, 1
253, x*(1/5-1/9)=1, 1
254, x/144+x/180=5, 6
255, x/500+2=x/200, 1
256, (1-0.1)*10=80/(80+20)*(10+x), 1
257, x/2+4=12, 2
258, x=34.0*25.0*(9.0-2.0)/1000, 1
259, 9*(3-x)=3x, 4
260, x=2/(2+3+3)*(2-1)/(2+3+3-1), 1
261, x=(5/12)*((5-1)/(12-1)), 1
262, x=2*3.14*10*(45/360), 1
263, x-23=-10, 3
264, x=(63/(63+147))*(90/(90+210)), 1
265, 2*(x-15)=1.5x, 4
266, x=(3+2+1)/(6*6), 1
267, x=(11+7)/(1-1/3), 1
268, 4.5-1.5*(6x+2)=6, 1
269, x=-3584365846506454605430576435456, 7
270, 5/6+1/4=x, 13
271, -8x=4*(x+5)+2x, 3
272, x=88*5/(5+6), 3
273, 4x-7=2x-1, 1
274, x*(5-2)/5=12, 1
275, 15*1*6=8*1*x, 1
276, 6*3/8=4*x/10, 1
277, 5/3+9/4+13/12=x, 7
278, 25*x=25*72+86-36, 1
279, x=60-25-18-9, 2
280, x=32+27+33-26-26-21+21, 1
281, 10*10+5=10x+15, 1
282, x=(25+1*2)*(15+1*2), 1
283, x=(1/6)/(9/14), 15
284, x=6.89-5*(1-0.4)-1.29*(1-0.25)-3.75*(1-0.3), 1
285, 4*x=6+8+10, 1
286, 5/2*x-1/4=35/16, 1
287, 7/8*(32+16x)=-7x-14, 1
288, x=(52-2)*5-2*7.5+89-143, 1
289, 15*x=6*10, 15
290, x=0.35+0.5-0.15, 4
291, (2x+1)+(2x+3)+(2x+5)=45, 1
292, 1*36*x=16, 5
293, x=2*(15*9+10*9)-3*2-3*8, 1
294, 2x+(x+3)=93, 2
295, x*(1-1/3-1/4-1/5)=6500, 3
296, 7+6-x=10, 1
297, x=1-43.49/54.2, 7
298, 5x+3*(10-x)=36, 8
299, x=2*7+4*(7*7*7+7*7*7*7), 2
300, 10=2+1+1.25x, 5
301, x=7*7+1/2*7*4.5*4, 1
302, x=6/(6*6)*210, 3
303, x/80=(x+228.8)/288, 1
304, 2x+1/3=5, 2
305, (x-3)/(x-6)=(x+1)/(x+5), 1
306, x=15/(15+18)*16/(16+14), 1
307, (x+2*68)/3=69, 1
308, 3*40*(1+x)=129.90, 1
309, x-350-420+500-699=231, 1
310, x/18=(1/4)/(3/4), 1
311, x=3+(-1/3)+(-5/3), 1
312, x=-x, 1
313, x=(56.75+12)/(1+4), 5
314, x=1*(12-8)*60/20, 2
315, x+1/2-1/9=5/9, 1
316, 2*(4+x)=4+5x, 1
317, 10-(2x+3)+4*(x-3)=3-4*(x+2), 1
318, x=40/(30+40), 12
319, x=(1/2)*(5*6*2)/2, 1
320, 10*11/(3/60)=7*10*31/x, 1
321, 7*(2x-1)-3*(2x+1)=86, 1
322, (7+3x)/4=-x/8, 2
323, x=1+3+(1+2+(1+1))+(1+2+(1+1)+1), 1
324, 1-x/9=2*(1-x/6), 1
325, x=10*0.2+0*0.2+93*0.2+98*0.4, 1
326, x=12*2*3.14*(8-7), 1
327, 9/16-2x=43/32, 1
328, x=(1+0.07)*(1+0.07)*(1+0.065)-1, 1
329, x=10*(5/9-1/3), 1
330, x=118000/50000-1, 2
331, x=10/(15-1+10), 1
332, x=2*3.14*(4+2)*12.50*(1+0.15), 1
333, -1/5x+(-31/10)=3/10x+2/5, 1
334, 24.0=2*3.14*(x/2), 1
335, x=30-(13+17-8), 5
336, x+3=2*4, 2
337, x=32*(1-1/3)*(1-1/4), 1
338, 4*(x-2)-(x+3)=x-1, 1
339, x=(48+3/4)*(1-1/3), 1
340, 5x-2*(12-x)=39, 1
341, x=30*(1+20/100), 4
342, 12-6+10=(1+x)*12, 1
343, x*(1-1/5)*(1-1/8)-3*1/5*x=28, 1
344, x=5*4/2*2-(6+5+3+1), 1
345, x=3.14*12-2*(12+12.5), 1
346, x=8-3/2-4/3-9/4-21/8, 1
347, (1+3/2+5/2)*x=180, 1
348, 180/0.9=x/(1-0.9), 2
349, x=19/45-7/12+5/18, 1
350, x+(180-110)=135, 1
351, x*(1/4)*(1-1/3)=24, 1
352, 2*(2x-1)+2*(3x+2)=32, 1
353, x=(3*1+3*200)*200/2-(2+2*200)*200/2, 1
354, x=62-23-25-20+6+5+6-2, 1
355, x=(-25-6+1)/20, 1
356, x+2x+(2x+7)=327, 1
357, x/(4+6+x)=2/3, 1
358, x/10=x-180, 1
359, x=(4*2)/(4*6), 10
360, 20*82=19*84+x, 4
361, x=5-7+2+1, 4
362, x/860=24/(24+8), 2
363, 1/2*x+5=3/4*x, 2
364, 10*(30+15)=x+12, 2
365, x=1-5/(26+8+5), 1
366, (x+2)/6=3/(x-1), 1
367, 25+15-x+33=60, 1
368, x=1/6*100+5/6*1/6*50, 1
369, x=16/(1/4)+7/(1/8), 1
370, 96+2x=2*(80-3x), 1
371, x=2*(4+6)*13, 1
372, 55+(55+60)*x=285, 1
373, 2*x+x-10=152, 1
374, x=8*7*6*5/(4*3*2*1), 2
375, 4*x-24+5=45, 1
376, 0.050*x=750-500, 1
377, x+5+x+6=45, 1
378, x=875*0.050*(1+0.25)+875, 1
379, x=180-52-52, 6
380, 6*x/100+(14*x)*2/100=50, 1
381, x+12*0.4=(12+x)*0.6, 9
382, (132+x)*5=2*(132-x)*3, 1
383, x=4*(42-x+3), 1
384, 2000/x=2800/(x-50)-3, 2
385, 600/(x+30)+600/(x-30)=4.5, 4
386, 7/(1/60)=26000/x, 2
387, (6-(-4))/(-5-3)=4/(x+5), 1
388, (60/x)+1=100/(x+5), 1
389, 60*x+84*(60-x)=80*60, 6
390, x=1-(13*12*11*10*9*8)/(25*24*23*22*21*20), 2
391, x=(15600-480)/12*0.3, 1
392, x=((13*12*11)/(3*2))*(14*13*12/(3*2))/((27*26*25*24*23*22)/(6*5*4*3*2)), 1
393, 3*45+45*x=65*x, 1
394, x=(5-(-1))/(-3-2), 19
395, x=75*18.5*(1/3), 2
396, x=500/(6*2*3), 4
397, x=500*(1-0.1)*(1-0.02), 2
398, 0.3*x=0.8*x-27, 2
399, x=(6*8+6*20)/12, 2
400, x=3.14*4*(11+4), 1
401, (0.85*0.35)/(0.15*0.05+0.85*0.35)=x, 1
402, x*144=2*8*12*12, 1
403, (5/(x-4))-(5/(x+4))=20/60, 1
404, x=3/4*1/4+1/4*1/4*1/2, 1
405, x=(3*0.012)/(3*0.012+0.025), 1
406, 2x=x+8+14, 2
407, (10000-4.26*x)/(4.26)=10000/4.46, 1
408, x=0.400x+40+0.500*(0.400x+40)-40+0.500*(0.500*(0.400x+40)-40)+20+180, 1
409, x+2*3.14*1=15, 1
410, x=25/(5.5+4.5)*30, 2
411, x=8-2-1/2, 1
412, x*(1-0.150)=30*(1-0.800), 1
413, x=2*39+2*(39+6)/3, 1
414, x=3+3+3+4, 8
415, 3/(3*3)=30/(30*x), 1
416, x=3/4*(5/7*2), 1
417, x=200+7*(2*10+8*2), 1
418, x/1=1/(1+1/2), 2
419, x/6=5*2/6+10*2/6, 1
420, 62x-45*(x+0.25)=34.65, 1
421, x=1860*(0.04+0.02+0.13)+132.40, 1
422, x=(4*12/8)*(6*12/8), 1
423, x=6*25*(25+1)-5*25, 1
424, x=8*9*9*9*9-7*8*8*8*8, 1
425, x=57-3*30000/1000, 1
426, x=(3+3/5)/(2+1/2), 1
427, 1/x=1/5+1/4-1/20, 2
428, 1/6+1/(x-2)-1/x=1/(3+1/3), 1
429, 100/(15*8)*6x=100/2, 1
430, x=20*3+40+29+36, 1
431, x=70*24*31/1000*5.99/100, 1
432, x=12-8+9, 20
433, x=3*300-450-200, 1
434, 5*0.900=0.150*(x+5), 4
435, x=0.2+2*0.4+3*0.2+4*0.1+5*0.05+6*0.05, 1
436, x=2*22/7*(7/4), 1
437, x=5*(13/52)+10*(13/52)+20*1/52, 1
438, x=1-1/5-3/8, 2
439, x/2*x/3=150, 1
440, x+4*(x-108)=143, 1
441, x=(15*60+20)/1.7, 2
442, x*40*(1-0.370)=311.98, 1
443, (x-99)*3+90*2+9=258, 1
444, x/300=(x-100-25)/250, 1
445, 260/x-260/(x+15)=45/60, 1
446, x=(8-2)*(8-0)*1/2, 1
447, x=60*24*(365*3+366)*24, 1
448, (1+x)/2*7*x=96, 1
449, x*6+(x+5)*(6-2)=600, 1
450, x*(1-0.400)=48+15-7.5, 1
451, x=(47.5*5280)/(60*60)*8, 2
452, x=(70+80-60)+60+10, 1
453, (1-1/3*x)*2=1-1/(3+1/2)*x, 1
454, 75/x=0.150, 4
455, x=575*2/5+(1200-575)*3/5, 1
456, x/(56-x)=2/5, 1
457, x*8=188*(1+0.200), 1
458, x/7=2125/(55*3+65*4), 1
459, 600+x*0.020=1000+0.015x, 1
460, x=26+31+30+31+28+31+31+30+(31-6), 1
461, 1-1/3*x=2*(1-1/(3+1/3)*x), 1
462, x=1000+40+1000+30+1000+20+1000+10, 3
463, x=1.25/((60+59.4)/60/60), 1
464, x=15/(15+7+10+8), 1
465, (x+12)*(x+24+12)-x*(x+24)=2400, 1
466, 10/(2x-x)-2=15/(2x+x), 1
467, x=(100*39.37/12/5280)/(10.49/60/60), 1
468, x*(1+0.090)=10+30.60, 1
469, 18/x+18/340=2.9, 2
470, (110-85)/(10-5)=(x-110)/(25-10), 2
471, x=(100000-9000*8)/7000, 1
472, 0.920*0.8+x*0.2=0.900, 3
473, (45+50)*x=425-45, 1
474, x+14+38-4=70, 1
475, x=(5/8)*(6/7)*(4/5), 2
476, x=(66-6)/(3*2), 1
477, (1/2)*x*8=92, 1
478, 60+0.25*(x-60)=230+0.2*(x-230), 1
479, x=(1/3)*(1/3)*(1/6)+(2/3)*(1/4)*(1/10), 1
480, x+(2*x-8)*2=74, 1
481, x=6*x*2*x, 1
482, 3*x+x*(x*x)=64.40, 1
483, x=(3-(-1))/(1/2-2), 1
484, x=(5*0.1+5*0.15)/(5-(5*0.1+5*0.15)), 1
485, 70/x-70/(2*x)=7, 1
486, 4*8*x=6*12*24*12, 1
487, 590-5*x=350+25*x, 2
488, x=(12+20)*8*2/32, 2
489, x=(10*9*8*7)/(4*3*2*1)+(10*9*8)/(3*2*1)*12+(10*9)/2*(12*11)/2, 1
490, x=(98-4)/2+1, 1
491, (1/x+1/(x+6))*10=2/3, 1
492, (80-65)/(x-10)=(95-80)/(20-x), 1
493, x=26+14+8+12+20, 7
494, (66+72+x)=75*3, 1
495, 45.99+(x-700)*6/100=29.99+(x-700)*35/100, 1
496, 2*(x+2*x-25)=70, 1
497, x=(20160/(12*0.25*32))*480, 1
498, 1/3/7=x/64, 1
499, x*3*x=2700, 1
500, (180+5*x)*(60-x)=11475, 1
501, 100*0.046/(100+x)=0.032, 1
502, x=((5*4/2)*4)/(9*8*7/6), 1
503, (17.3-x)/(78-56)=(17.3-12.36)/(78-40), 1
504, (1-0.3)*0.77+x*0.3=0.650, 1
505, x=1+5+2+8+4+6+3, 2
506, x=35.65/(3.4*3.14*0.6*0.6), 1
507, x=2*2*2*2*3*5, 2
508, 300-25*x=420-40*x, 1
509, x=(5000*0.11*3+150)/(3*5000), 1
510, (74.8+53.3+242.2+499.2+124.7+151.2+92.7+211.4)/8=x, 1
511, x=(1/2+1/3)-(1/2*1/3), 1
512, (1/4)/(1/5)=20/x, 1
513, x=600*0.9*0.9-600*0.8, 1
514, 45*x-1200=60*x-1800, 1
515, x=1/(25*24*23*22*21/5/4/3/2/1), 1
516, 4*x*x*0.5=32, 1
517, 2*3.14*14*x/(2*3.14)=528*10, 1
518, (8+10+13+16+14+12)/x=17*7/130, 1
519, x=3.14*64/2*64/2*104*0.004329004, 1
520, x=43/4+3+3/4, 2
521, x*(3+x)=5*(5+9), 1
522, 37/50+x=0.500*2, 1
523, 8x+8=2*(xx-x), 2
524, x=120*(1-0.700)+200*0.700, 1
525, x+x/2+x-25=180, 1
526, 3500x*(20/12)=196*20-3500, 1
527, (30+2x)*(20+2x)=20*30+336, 1
528, x=(125-20)/(45/15+60/60), 1
529, x=4*(10*9/2), 3
530, 10x=3*8+7*12, 2
531, x=0.400*0.600*0.300+0.400*0.400*0.700+0.600*0.600*0.700, 1
532, x=1-35*34*33*32/(53*52*51*50), 1
533, x=(525+1150)*(1+0.158), 1
534, x*7*(20/5+50*4/5)/100=0.2, 1
535, x=(2+3*6)*3/4, 1
536, x=0.800*0.900+0.200*20/100, 1
537, 26*10+30*90=(10+90)*x, 1
538, 15/(12+x)+15/(12-x)=3, 1
539, 192=(15+33)*x/2, 2
540, x-12+x-17=11, 1
541, x+x+2+x+4=204, 2
542, x=3/(1+1/5), 2
543, x=2.5*50*(1.5-1), 1
544, x=6700/(150*75/43560), 1
545, (x-1.25)/x=(2.5-1)/2.5, 1
546, x=0.5-0.35*0.810-0.8*0.180-0.010*12, 1
547, x=1-4*3*2/(6*5*4), 1
548, x=3/5+2/5*3/5, 1
549, x0*(x+4)+x=3*(x0x+x+4)+6, 1
550, 3/(x+5)+1/5=2/(x+5), 1
551, x=4*10*9*8/(3*2), 1
552, 5000/((16*3600)+(28*60)+22)=400/x, 1
553, x=80-15-(7+1/2)*2-(3+3/4), 1
554, 26.22*3.09-x=3.507+2.08+11.5+16.712, 1
555, x*5*1/2*5=87.5, 1
556, (11-2*x)*(7-2*x)*x=30, 1
557, x*(4/3)=x+(4/3), 1
558, 25+25*25+15*25*25=x, 2
559, (x-10)/6=10/4, 1
560, 0.200*x+2/5*(x-0.200*x)+72=x, 1
561, x=(20*30+10*10+4*60)/30*540, 1
562, x+5.5*5=48, 1
563, 1850/(350+x)=1650/(350-x), 2
564, (x*0.700+x*0.600)-x=9, 1
565, (24+27+19+32+x)/5=27, 2
566, x=(13/18-2/17)/(9/17-10/17), 1
567, (3.25+2x)*(3+2x)=15, 3
568, (x+150*0.800)/(x+150)=0.900, 1
569, 1/(3/4)=(3/4)/x, 1
570, x+x+x+7=106, 1
571, x*(1+0.050)+2*x*(1+0.060)=765, 1
572, x=100+10+10-1, 1
573, x=(15.2*(1.1+12)/2)*11.4, 1
574, x=0.80+8*0.1+10*0.1+10*0.1, 1
575, x/360=(12-7)/12, 1
576, 1.25*1000=(13+26)*1/2*x, 1
577, x/(3785.41178*100)=50, 1
578, x=(15/3)*(8/3)*(9/12/3)*30, 1
579, x=(5.56+13.89)/2*30, 2
580, x=1+3200*1/2*1/4*1/2*1/10, 1
581, x=13-(9-(16+4/2)), 1
582, x=6+(6+6)+((6+6)-4)+((6+6)-4)*4+1+4, 1
583, x=500+500*0.04*0.5+300+300*0.04*0.25, 1
584, x=50*100*(1/3)/27, 1
585, -1/x=(3+13)/(19+5), 1
586, 3*x=5*(x-12), 2
587, x+x-2=14, 1
588, x=110+18*6-22*3, 1
589, x/(x-18)=5/2, 1
590, x=3+5/8-1/2, 1
591, (38-2x)*(32-2x)+600=38*32, 1
592, 2*(20+2x+15+2x)=102, 1
593, x*90/60=70.8*32.1/60+92.2*(90-32.1)/60, 1
594, 2*x+2*(3*x-75)=370, 1
595, x=(7*2)+(7*7*4)+(7*7*7*4), 1
596, 5/(x-4)-20=5/(x+4), 1
597, 3*x+3*(x+4)=x+2+30, 1
598, 3.9*30/2=63x, 1
599, (7x-3)/8-x/3=11, 1
600, 35000x*365*24*3600=120000000000000, 2
601, 1000x=71.2*(9570-5880), 1
602, 100*15/60+100x=120x, 1
603, x=40+(1+2+3+4+5+6+7+8+9)/9, 1
604, x*(1-1/3-0.4-0.25)=3, 1
605, 1/2*4*x=48, 1
606, x=2*(10*8+6*8+10*6)/12, 1
607, x*(61/55+43/49+72/47)=61+43+72, 1
608, 1.48=(x-76.4)/6.1, 2
609, 50x+76=64*(x-1), 1
610, x+x+7+5-2+3-1-3+6+2-7=0, 1
611, x+(6-x)*0.400=6*0.500, 1
612, x=(-2)*(20/64)+1*(44/64), 1
613, 1/x+1/(x-180)=1/180, 1
614, x=12-8+(56-10)/60, 1
615, x=1+3+3*3+3*3*2, 1
616, x=60/(1/2)+10, 2
617, x=3*2/5*x-5, 1
618, 8x=23+12+11+31+10+30+17+36, 1
619, 10000*(1+x/100)*(1+2x/100)=12862, 1
620, x=1+16+9*9+7*(8+9), 1
621, 12/(3*6)=x/(2*9), 1
622, 25x=25*72+86-36, 1
623, (225-x)/x=4/5, 1
624, 36=2*(xx+5x)/2, 1
625, 3/(x+3)+3/(3-x)=3+36/60, 1
626, x=24*14*12/(12*12*12)*7.48, 1
627, x=8*10*0.75+2*(8+10)*0.25, 1
628, x/2-x/7=5, 1
629, 1/x+1/(x+2)=20/99, 1
630, x=(500*x/5)/20+(500*2/5)/25, 1
631, ((x-10)/2-10-10)/2-10=0, 1
632, 3x/5-2x/5=8, 1
633, x=8*7/2+8*7*6/(3*2)+8*7*6*5/(4*3*2)+8*7*6*5*4/(5*4*3*2)+8*7*6*5*4*3/(6*5*4*3*2)+8*7*6*5*4*3*2/(7*6*5*4*3*2)+1, 1
634, 10x=3*1.25+4*1.5+2*1, 1
635, (x-6)/(x+11-1)=(x+11-1)/(2x+2*22), 1
636, x=(12-4)/(40/60), 1
637, 300x-50x=4*50, 1
638, 410/x=111*0.9144/10, 1
639, -1/x=(-1+10)/(6-7), 1
640, (xx+1)/(40x)=2/25, 1
641, 1/5*(1/2+x)+x/4=1, 1
642, 2*(x+x+50)=2500, 2
643, 88*26=23x+79+90+75, 1
644, 8x=5*1.000+0.800+0.900+0, 1
645, x=29*12+2.5-210.75, 1
646, (120+150)*1000/3600*x=64+86, 1
647, 42/x=1-1/3-1/5-1/6-1/4, 1
648, x+12+8*6=10*8, 1
649, x=8*2/8+2*3/8-4*(1-2/8-3/8), 1
650, x=17-(3+8/9), 1
651, 1/40+1/30+1/24=1/x, 3
